pid,year,Abies balsamifera,Acer saccharum,Betula papyrifera,Populus tremuloides,Tsuga canadensis
1,1980,4,0,0,0,0
2,2006,40,0,1,0,0
3,2006,36,0,9,0,0
4,1980,3,0,0,0,0
5,1980,4,0,0,0,0
6,1980,16,0,0,0,0
7,1980,0,0,0,6,0
8,1980,4,0,0,0,0
9,1980,30,0,0,0,0
10,1980,0,0,24,0,0
11,1980,0,0,10,24,0
12,1980,6,0,0,0,0
13,2003,0,0,15,0,0
14,2005,93,0,24,0,0
15,2005,7,0,0,0,0
16,2004,4,0,0,0,0
17,1980,2,0,10,0,0
18,1980,0,0,4,0,0
19,1980,2,0,0,0,0
20,1980,12,0,27,0,0
21,1980,0,0,20,0,0
22,1980,0,0,3,0,0
23,1980,16,0,21,0,0
24,2001,28,0,8,0,0
25,2001,44,0,0,0,0
26,2003,150,0,4,0,0
27,2003,90,0,26,0,0
28,2002,16,0,2,0,0
29,2002,44,0,0,0,0
30,1980,0,0,9,0,0
31,1980,21,0,0,0,0
32,1980,0,0,10,0,0
33,1980,6,0,0,0,0
34,2000,85,0,20,0,0
35,2000,13,0,0,0,0
36,1980,80,0,0,0,0
37,1980,16,0,0,0,0
38,1980,18,0,0,0,0
39,1980,7,0,0,0,0
40,1980,8,0,11,0,0
41,1980,14,0,11,0,0
42,1980,97,0,0,0,0
43,1980,0,0,29,0,0
44,1980,80,0,0,0,0
45,1980,115,0,0,0,0
46,1980,18,0,0,0,0
47,1980,30,0,6,0,0
48,1980,56,0,0,0,0
49,1980,26,0,0,0,0
50,1980,51,0,4,0,0
51,1980,24,0,0,0,0
52,1980,47,0,73,0,0
53,1980,90,0,0,0,0
54,1980,36,0,0,0,0
55,1980,2,0,0,0,0
56,1980,36,0,6,0,0
57,1980,46,0,0,0,0
58,1980,28,0,0,0,0
59,1980,31,0,0,0,0
60,1980,38,0,0,0,0
61,1980,29,0,3,0,0
62,1980,4,0,0,0,0
63,1980,0,0,38,0,0
64,1980,35,0,0,0,0
65,1980,31,0,22,0,0
66,1980,32,0,0,0,0
67,1980,32,0,0,0,0
68,1980,13,0,2,0,0
69,1980,19,0,0,0,0
70,1980,0,0,20,0,0
71,1980,13,0,0,0,0
72,1980,2,0,2,0,0
73,1980,27,0,0,0,0
74,1980,24,0,2,0,0
75,1980,23,0,8,0,0
