lakename	lakeno	spm	area	Dm	Dmax	pH	TP	T	Q	DR	Vd
Flatsjon	1	2.52	0.61	2.5	4	8	20	0.94	1.60E+06	0.312	1.875
IJsselmeer	2	40	1147	4.3	10	8.5	60	0.41	1.20E+10	7.876	1.29
IsoValkjarvi	3	0.5	0.042	3.1	8	5.1	11	3	4.34E+04	0.066	1.163
Bracciano	4	0.5	57	89.5	150	8.5	5	137	3.72E+07	0.084	1.79
OvreHeimdalsvatn	5	0.3	0.78	4.7	20	6.8	10	0.17	2.16E+07	0.188	0.705
Hillesjon	6	5	1.6	1.7	3.1	7.3	20	0.36	7.60E+06	0.744	1.645
DevokeWater	7	0.7	0.34	4	15	6.5	10	0.24	5.70E+06	0.146	0.8
EsthwaiteWater	8	3.55	1	6.4	15	8	25	0.19	3.37E+07	0.156	1.28
Siggeforasjon	9	2.1	0.73	4.2	11	7.2	10	0.78	3.90E+06	0.203	1.145
Zurich	10	0.93	67.2	49	143	7	15	1	3.30E+09	0.167	1.028
Vasman	11	1.34	38.6	10.6	53	6.7	15	1.08	3.79E+08	0.586	0.6
OvreHillen	12	1.58	5	10.6	40	6.7	21	0.14	3.79E+08	0.211	0.795
NedreHillen	13	2.44	2.7	3.7	10	6.9	31	0.04	2.38E+08	0.444	1.11
Leran	14	3.04	2.8	3.6	10	6.8	25	0.04	2.40E+08	0.465	1.08
Haggen	15	1.51	7.3	10.1	29	6.5	14	1.18	6.27E+07	0.268	1.045
NorraBarken	16	1.94	19.5	10.1	36.5	6.8	21	0.38	5.25E+08	0.437	0.83
SodraBarken	17	2.44	11	5.7	24	6.8	24	0.11	5.81E+08	0.582	0.713
Noren	18	4	1.3	3	5	6.9	33	0.08	5.06E+07	0.38	1.8
StoraAspen	19	3.81	5.9	7	25	6.9	32	0.27	1.53E+08	0.347	0.84
Amanningen	20	2.72	21.9	6.2	30	7	20	0.19	7.15E+08	0.755	0.62
Magsjon	21	4.62	0.6	2.1	7.5	6.9	27	0.002	7.41E+08	0.369	0.84
Ostersjon	22	4.67	1.3	3	7	7.1	39	0.01	7.80E+08	0.38	1.286
Freden	23	5.88	3.3	5.5	15	7	41	0.03	7.26E+08	0.33	1.1
Virsbosjon	24	3.76	49	4.1	12	6.9	28	0.03	8.00E+09	1.707	1.025
Erken	25	2.45	23.7	9	20.65	8	26	6.6	3.23E+07	0.541	1.308
Ortrasket	26	1.41	7.3	23	64	6.5	21	0.25	6.80E+08	0.117	1.078
