bottle	scan	species	phase	NP	all.treat	ca_1	ca_2	ca_3	ca_4	ca_5	ca_6	ca_7	ca_8	na_1	na_2	na_3	na_4	pr_1	pr_2	pr_3
E1L1	s1	Pectobacterium	log	50	Pec_log_50_E1L1	0.088285	0.09124	0.135983	0.108167	0.167829	0.17224	0.158226	0.14397	0.045536	0.085571	0.13933	0.154316	0.285417	0.263447	0.269334
E1L1	s2	Pectobacterium	log	50	Pec_log_50_E1L1	0.04438	0.044525	0.116166	0.098371	0.153747	0.169481	0.183765	0.146117	0.056207	0.089489	0.155503	0.190504	0.28156	0.269002	0.258691
E1L1	s3	Pectobacterium	log	50	Pec_log_50_E1L1	0.04393	0.049171	0.128315	0.10993	0.157874	0.166533	0.177489	0.149558	0.04317	0.084819	0.162478	0.175553	0.291152	0.265683	0.28693
E1L1	s4	Pectobacterium	log	50	Pec_log_50_E1L1	0.055568	0.064502	0.116552	0.110457	0.153474	0.173991	0.189808	0.167862	0.037728	0.075252	0.138213	0.171109	0.282251	0.26458	0.277427
E1L1	s5	Pectobacterium	log	50	Pec_log_50_E1L1	0.047674	0.046546	0.117731	0.097961	0.159866	0.168584	0.172148	0.141565	0.048237	0.066853	0.151069	0.181126	0.281814	0.275873	0.273593
E1L1	s6	Pectobacterium	log	50	Pec_log_50_E1L1	0.04314	0.075688	0.115349	0.10679	0.162428	0.181815	0.183586	0.158975	0.047792	0.070407	0.152509	0.171454	0.281997	0.265541	0.275671
E1L1	s7	Pectobacterium	log	50	Pec_log_50_E1L1	0.050896	0.059087	0.11464	0.105323	0.156609	0.171687	0.186658	0.156561	0.037288	0.082549	0.153897	0.175705	0.274888	0.270007	0.27358
E1L1	s8	Pectobacterium	log	50	Pec_log_50_E1L1	0.056294	0.059221	0.121087	0.104879	0.149848	0.174995	0.184791	0.151896	0.044212	0.083536	0.158702	0.17926	0.27637	0.269871	0.263838
E1L1	s9	Pectobacterium	log	50	Pec_log_50_E1L1	0.045691	0.046529	0.116749	0.094426	0.162644	0.1704	0.18118	0.153778	0.050035	0.083875	0.152345	0.178686	0.289878	0.275077	0.28691
E1L1	s10	Pectobacterium	log	50	Pec_log_50_E1L1	0.035221	0.03546	0.101156	0.090704	0.152019	0.157676	0.177285	0.142841	0.041849	0.078394	0.16647	0.212352	0.27306	0.264366	0.271468
E1L1	s11	Pectobacterium	log	50	Pec_log_50_E1L1	0.04084	0.047719	0.11075	0.090351	0.148601	0.170625	0.171586	0.151945	0.043865	0.078121	0.142811	0.176091	0.28178	0.272497	0.281318
E1L1	s12	Pectobacterium	log	50	Pec_log_50_E1L1	0.058662	0.053559	0.126868	0.11173	0.167193	0.172011	0.188868	0.159601	0.044596	0.085782	0.156165	0.160757	0.306004	0.278888	0.302562
E1L1	s13	Pectobacterium	log	50	Pec_log_50_E1L1	0.044872	0.046427	0.115819	0.09996	0.156081	0.165473	0.191923	0.154934	0.058797	0.090247	0.155514	0.175615	0.284661	0.275721	0.272637
E1L1	s14	Pectobacterium	log	50	Pec_log_50_E1L1	0.045762	0.064243	0.113541	0.102939	0.164055	0.167807	0.183085	0.156383	0.039697	0.081625	0.163232	0.188221	0.303758	0.292177	0.276776
E1L1	s15	Pectobacterium	log	50	Pec_log_50_E1L1	0.032059	0.054473	0.115301	0.101653	0.157222	0.172102	0.1855	0.166286	0.037585	0.077144	0.150436	0.181908	0.283369	0.282238	0.270499
E1L1	s16	Pectobacterium	log	50	Pec_log_50_E1L1	0.047259	0.054655	0.109698	0.102747	0.148289	0.183603	0.188746	0.163843	0.040044	0.074383	0.14574	0.191365	0.282866	0.280402	0.255452
E1L1	s17	Pectobacterium	log	50	Pec_log_50_E1L1	0.045332	0.045961	0.107546	0.108172	0.162695	0.16965	0.182887	0.153798	0.040632	0.079473	0.154704	0.187201	0.289181	0.278459	0.291281
E1L1	s18	Pectobacterium	log	50	Pec_log_50_E1L1	0.038518	0.041935	0.106126	0.0884	0.153892	0.166624	0.176659	0.151407	0.040594	0.077136	0.151654	0.177796	0.281879	0.277156	0.285513
