cons	food	sex
19.7	1	male
21.2	1	male
21.1	1	male
18.15	1	male
19.43	1	male
19.67	1	male
19.81	1	male
22.38	1	male
20.54	1	male
19.48	1	male
18.56	1	male
19.97	1	male
18.26	1	male
18.72	1	male
20.87	1	male
20.69	1	male
20.13	1	male
21.88	1	male
20.86	1	male
18.8	1	male
21.24	1	female
18.82	1	female
20.31	1	female
20.23	1	female
21.13	1	female
22.34	1	female
22.97	1	female
22.66	1	female
22.92	1	female
20.62	1	female
19.48	1	female
20.68	1	female
18.42	1	female
21.76	1	female
19.63	1	female
20.06	1	female
21.14	1	female
21.07	1	female
20.08	1	female
21.71	1	female
22.48	2	male
20.97	2	male
19.51	2	male
19.08	2	male
20.83	2	male
21.11	2	male
22.07	2	male
19.59	2	male
21.12	2	male
21.96	2	male
20.84	2	male
23.39	2	male
22.65	2	male
21.67	2	male
20.08	2	male
20.96	2	male
20.29	2	male
22.03	2	male
22.31	2	male
21.84	2	male
18.82	2	female
21.83	2	female
19.01	2	female
19.12	2	female
19.7	2	female
19.73	2	female
19.59	2	female
19.45	2	female
21	2	female
20.78	2	female
19.25	2	female
20.13	2	female
19.36	2	female
19.45	2	female
20.7	2	female
20.42	2	female
20.66	2	female
20.59	2	female
19.46	2	female
18.54	2	female
