site;Agr;Con;For;SeN;Urb;Wet;light;GPP;ER;NEP;SRP;DIN;DOC;C1;C2;C3;C4;C5;Sr;AbsCoeff440;a255_a365;SUVA255;SA440;FI;HIX;b_a;velocity;slope.streambed;slope.watersurface;avg.depth;avg.width;Q;
1;0.71;0.05;0.23;0.00;0.02;0.00;32179038;3.36;-6.88;-2.76;34.63;18.22;1.74;243.3;60.6;93.3;100.1;69.7;0.78;0.37;5.88;4.58;0.22;2.15;0.68;1.16;0.154;0.000;0.001;0.28;8.22;0.358;
2;0.59;0.31;0.04;0.00;0.05;0.00;17336014;1.75;-9.24;-4.35;42.28;11.29;3.30;461.3;139.4;185.7;197.9;140.2;0.88;0.87;5.40;4.76;0.27;2.08;0.68;1.16;0.418;0.001;0.001;0.30;6.20;0.623;
3;0.34;0.61;0.03;0.01;0.01;0.00;17453450;3.47;-27.93;-10.76;18.16;6.93;3.10;383.4;119.0;198.3;124.5;69.5;0.86;1.24;4.67;5.89;0.40;1.81;0.76;1.04;0.363;0.008;0.008;0.36;9.57;1.006;
4;0.47;0.48;0.04;0.00;0.01;0.00;7409860;0.17;-2.17;-2.08;39.93;9.88;2.05;272.0;85.7;134.7;96.6;69.6;0.78;0.54;5.34;5.18;0.27;1.98;0.69;1.05;0.271;0.002;0.001;0.29;4.47;0.283;
5;0.35;0.62;0.01;0.01;0.00;0.01;23282670;0.13;-1.77;-1.70;13.31;8.51;2.35;277.8;92.4;156.3;85.0;50.7;0.74;0.83;4.43;5.48;0.36;1.84;0.69;1.01;0.407;0.001;0.001;0.38;6.36;0.707;
6;0.50;0.05;0.44;0.00;0.01;0.00;3540444;0.06;-7.34;-7.54;24.34;14.96;2.30;338.4;101.3;179.3;107.7;67.5;0.76;0.64;5.19;5.23;0.28;1.87;0.71;1.14;0.162;0.005;0.004;0.18;2.78;0.083;
7;0.53;0.27;0.18;0.00;0.02;0.00;10078495;0.43;-2.82;-2.47;31.84;19.11;1.79;242.1;74.1;122.4;86.7;49.3;0.70;0.42;5.37;4.74;0.23;1.86;0.67;1.13;0.333;0.003;0.002;0.23;3.97;0.214;
8;0.49;0.50;0.00;0.00;0.01;0.00;34950105;1.95;-7.79;-6.03;21.40;13.34;1.68;202.5;73.1;114.7;73.2;36.4;0.70;0.34;5.26;4.47;0.20;1.94;0.66;1.19;0.389;0.005;0.005;0.17;2.37;0.115;
9;0.51;0.46;0.00;0.00;0.03;0.00;30894602;1.07;-9.06;-4.89;49.49;11.82;1.89;239.6;80.4;129.7;85.7;46.1;0.73;0.46;4.97;4.65;0.24;1.98;0.70;1.11;0.276;0.003;0.004;0.15;2.39;0.096;
10;0.80;0.13;0.05;0.00;0.02;0.00;4776309;0.53;-8.89;-8.61;27.28;13.84;3.78;469.7;139.0;201.1;179.1;128.9;0.86;0.85;5.27;4.09;0.23;2.01;0.67;1.21;0.089;0.013;0.013;0.16;2.20;0.030;
11;0.68;0.22;0.09;0.00;0.01;0.00;8039880;1.00;-12.80;-12.16;28.90;18.03;4.59;632.1;171.8;288.9;228.8;144.0;0.79;0.90;5.65;4.33;0.20;2.03;0.69;1.17;0.105;0.015;0.015;0.18;2.84;0.049;
12;0.50;0.42;0.08;0.00;0.00;0.00;3070064;0.36;-9.10;-9.00;9.93;23.39;2.70;283.6;87.7;129.8;102.8;71.5;0.82;0.72;5.27;4.43;0.27;2.11;0.68;1.15;0.115;0.012;0.012;0.15;2.62;0.039;
13;0.53;0.38;0.06;0.00;0.03;0.00;1893520;0.71;-10.54;-10.14;32.87;19.77;4.53;515.5;150.0;234.0;183.5;121.9;0.85;1.19;5.31;4.59;0.26;2.05;0.69;1.15;0.138;0.022;0.022;0.11;2.92;0.047;
14;0.80;0.05;0.06;0.01;0.08;0.00;5598892;0.43;-7.04;-6.84;112.43;25.69;4.25;515.6;134.2;202.3;203.4;175.3;0.88;0.93;5.66;4.06;0.22;2.04;0.63;1.19;0.164;0.003;0.003;0.15;1.80;0.049;
15;0.84;0.04;0.04;0.00;0.08;0.00;4581159;0.00;-11.63;-12.06;116.10;29.53;3.67;457.7;148.2;166.6;215.6;188.6;0.82;0.77;5.50;3.81;0.21;2.25;0.62;1.23;0.141;0.005;0.005;0.20;1.48;0.042;
16;0.90;0.00;0.04;0.00;0.06;0.00;16066971;0.58;-8.64;-8.38;157.28;12.59;6.34;951.1;244.4;410.2;387.0;236.9;0.85;1.17;5.92;4.12;0.18;2.12;0.67;1.18;0.079;0.003;0.003;0.30;2.58;0.097;
17;0.38;0.00;0.59;0.01;0.02;0.00;21245947;1.35;-6.62;-7.03;39.63;31.43;2.80;390.0;97.1;157.6;159.9;111.7;0.70;0.43;6.41;3.80;0.15;2.23;0.64;1.23;0.178;0.002;0.003;0.21;2.05;0.062;
18;0.49;0.44;0.01;0.00;0.05;0.01;9908041;2.40;-22.96;-21.16;9.19;6.09;8.34;881.2;219.5;380.3;309.1;213.3;0.91;1.75;5.68;4.36;0.21;2.00;0.69;1.15;0.256;0.019;0.020;0.40;6.92;0.892;
19;0.43;0.51;0.01;0.00;0.04;0.00;15641916;2.20;-20.69;-14.36;28.75;4.78;5.78;590.6;154.2;261.8;208.3;164.2;0.95;1.50;5.37;4.71;0.26;1.94;0.68;1.15;0.173;0.000;0.000;0.61;7.30;0.932;
20;0.66;0.29;0.02;0.00;0.03;0.00;8475936;2.00;-19.79;-12.87;110.22;11.02;6.14;741.8;174.4;309.4;259.1;194.0;0.95;1.23;6.24;4.57;0.20;1.95;0.69;1.16;0.127;0.003;0.003;0.33;5.80;0.869;
