river	population	length	mass	discharge	width
Inn	medium	141	30.5	332	100
Inn	medium	142	28.5	738	150
Salzach	limited	125	20.1	251	90
Enns	large	138	36	150	80
Enns	large	136	22	164	80
Drau	medium	144	34.1	130	65
Drau	medium	137	35.1	130	85
Isar	large	141	27.8	48.4	45
Lech	large	145	27.9	82	65
Lech	large	137	29.7	75	80
Traun	limited	122	18.25	73	55
Mur	large	140	32	65	45
Iller	medium	120	24	47.3	45
Loisach	large	127	21.9	45	35
Loisach	large	129	20.9	45	35
TirolerAche	medium	114	15.7	30	40
Gail	large	130	24.5	30.6	40
Regen	limited	117	16.5	26	45
Regen	limited	116	18	26	45
Ybbs	medium	120	17	25	38
Wertach	medium	127	20	12.5	25
Ammer	large	120	18	8.93	20
Traisen	limited	126	23	8.3	22
SchwarzerRegen	large	125	22	8.18	25
Mangfall	medium	123	18	8	25
Ilz	medium	136	22	7	30
Sulm	medium	118	16	6.8	15
Pielach	large	126	21	6	15
Lassnitz	limited	112	13	3	12
Melk	medium	130	24	2.96	10
MitternacherOhe	large	128	18.5	2.02	8
Mank	medium	115	15	0.6	8.5
