sampleID	Season	Site	Date	Type	latitude	longitude	SR	E2_E3	E4_E6	SUVA254	FI	HIX	fresh	DOC	C1	C2	C3	C4	C5	C6	C7	HMWS-C	humic-C	LMWS-C	HMWS-N	humic-N	avgmolmass	molrich	DBE	AI	MLB	H_C	O_C	NH4	NO3	TP	Chla	AGR	FOR	PAV	URG
H1_autumn	autumn	H1	22.09.16	river	52.4423916	13.32454071	1.061	6.315	3.076	2.1	1.781	0.822	0.893	9.19	0.088	0.042	0.04	0.073	0.064	0.053	0.033	0.6	5.2	1.1	0.11	0.36	318.715	4976	8.697	0.319	17.926	1.209	0.386	0.18	1.98	92.33	2.48	0	0	60	30
H2_autumn	autumn	H2	29.09.16	river	52.42641871	13.52039181	1.014	5.154	3.021	2.428	1.883	0.82	0.942	11.24	0.135	0.015	0.065	0.093	0.111	0.068	0.046	1	6.9	2.2	0.19	0.52	311.716	4562	8.449	0.324	18.26	1.212	0.377	0.09	4.27	200	9.54	0	0	100	0
H3_autumn	autumn	H3	03.10.16	stream	52.5256244	13.57913257	0.912	7.777	3.089	3.057	1.463	0.894	0.577	17.12	0.129	0.197	0.069	0.267	0.056	0.022	0.043	0.9	9.8	3.1	0.13	0.32	300.214	3977	7.977	0.303	24.089	1.234	0.369	0.39	0.66	219	0.57	50	0	50	0
H4_autumn	autumn	H4	30.09.16	stream	52.63441954	13.38013089	0.93	6.99	4.097	2.356	1.685	0.873	0.755	9.09	0.057	0.043	0.029	0.044	0.042	0.019	0.016	0.3	6.2	1	0.05	0.42	328.164	5387	8.943	0.318	17.672	1.208	0.383	0.05	1.81	241	2.03	50	0	10	40
L1_autumn	autumn	L1	03.10.16	lake	52.50331324	13.54970371	1.093	6.457	1.28	1.55	1.429	0.829	0.753	4.97	0.036	0.048	0.023	0.044	0.025	0.021	0.023	0.9	2.1	0.4	0.07	0.11	320.064	5236	8.719	0.316	19.156	1.216	0.374	0.01	0	41	13.68	0	0	50	50
L2_autumn	autumn	L2	26.09.16	lake	52.5485618	13.4897245	1.576	7.85	2.538	1.349	1.473	0.714	0.874	9.8	0.027	0.039	0.016	0.075	0.017	0.025	0.046	1.8	3.9	1	0.2	0.24	312.083	4571	8.186	0.304	21.024	1.231	0.386	0.01	0	63.67	72.53	0	0	50	50
L3_autumn	autumn	L3	29.09.16	lake	52.5437973	13.3304851	1.61	9.766	3.102	1.253	1.578	0.68	1.059	11.9	0.015	0.02	0.007	0.011	0.01	0.035	0.018	2	6.9	1.4	0.26	0.47	315.423	4689	8.255	0.304	21.241	1.243	0.369	0.08	0.01	14	18.88	0	0	0	100
L4_autumn	autumn	L4	23.09.16	lake	52.4641667	13.11488889	1.677	13.427	7.686	0.996	1.568	0.659	0.93	7.43	0.009	0.012	0.004	0.013	0.005	0.015	0.013	0.7	4.3	0.7	0.11	0.3	311.48	4378	8.073	0.297	21.517	1.253	0.376	0.01	0	13.67	0.58	0	10	0	90
L5_autumn	autumn	L5	03.10.16	lake	52.44309799	13.14452751	1.099	7.502	5.324	2.049	1.653	0.833	0.798	8.169	0.068	0.043	0.037	0.053	0.055	0.034	0.026	0.5	4.8	1	0.09	0.33	316.193	4750	8.544	0.325	18.337	1.208	0.377	0.14	1.11	230	0.33	0	0	100	0
L6_autumn	autumn	L6	22.09.16	lake	52.44065713	13.21183326	1.382	10.392	2.338	1.418	1.662	0.79	0.9	7.36	0.027	0.03	0.014	0.035	0.018	0.025	0.021	0.9	4.1	0.9	0.11	0.29	319.14	5153	8.595	0.311	19.775	1.227	0.375	0.11	0.26	7	0.91	0	60	30	10
L7_autumn	autumn	L7	26.09.16	lake	52.438367	13.645103	1.256	8.845	3.421	1.979	1.686	0.834	0.753	6.19	0.044	0.06	0.025	0.054	0.027	0.022	0.021	0.6	4.2	0.7	0.08	0.28	312.53	4034	8.571	0.331	15.419	1.194	0.386	0.07	0.04	94.33	1.68	0	70	30	0
P1_autumn	autumn	P1	04.10.16	pond	52.576935	13.164277	1.152	8.344	4.249	2.027	1.51	0.878	0.724	7.69	0.042	0.053	0.025	0.043	0.027	0.015	0.015	0.6	5.2	0.7	0.08	0.33	316.891	4289	8.716	0.335	15.272	1.187	0.387	0.02	0.23	16	5.91	0	100	0	0
P2_autumn	autumn	P2	30.09.16	pond	52.567379	13.445491	1.114	6.523	4.47	2.212	1.437	0.859	0.706	8.47	0.041	0.06	0.031	0.062	0.025	0.019	0.02	1.6	5	1.1	0.18	0.25	NA	NA	NA	NA	NA	NA	NA	0.01	0	31.67	15.66	0	0	30	70
P3_autumn	autumn	P3	27.09.16	pond	52.525732	13.25998298	1.352	7.28	3.502	1.821	1.507	0.818	0.668	10.53	0.028	0.023	0.017	0.023	0.017	0.008	0.017	1.2	6.8	1.1	0.16	0.43	330.26	5128	8.72	0.316	18.974	1.213	0.381	0.03	0	11.33	4.16	0	0	50	50
P4_autumn	autumn	P4	28.09.16	pond	52.57723896	13.34556498	0.766	5.135	2.627	3.222	1.539	0.815	0.69	12.81	0.062	0.076	0.024	0.139	0.024	0.022	0.043	0.8	5.5	2.2	0.17	0.13	324.251	5461	8.063	0.277	26.936	1.274	0.368	2.69	0	151.67	0.77	0	0	0	100
P5_autumn	autumn	P5	27.09.16	pond	52.612075	13.230449	1.48	7.646	4.069	1.427	1.511	0.787	0.701	11.87	0.025	0.022	0.013	0.021	0.015	0.009	0.018	2.1	7	1.4	0.27	0.44	288.654	2652	7.338	0.302	21.38	1.252	0.383	0.05	0.01	36	16.38	0	100	0	0
P7_autumn	autumn	P7	29.09.16	pond	52.552818	13.335453	1.338	8.045	3.927	1.908	1.533	0.839	0.716	16.35	0.031	0.037	0.018	0.032	0.018	0.011	0.018	1.8	12.4	2	0.24	0.64	323.445	4457	8.319	0.325	19.834	1.216	0.364	0.01	0	110.67	34.95	0	0	30	70
