species	phase	NP	na_avg
Pec	log	50	-0.145585848
Pec	log	50	-0.404329171
Pec	stat	50	-0.929399363
Pec	stat	50	-0.795932114
Pec	log	5	-0.012357781
Pec	log	5	-0.245704678
Pec	stat	5	-0.481561864
Pec	stat	5	-0.738678131
Pec	log	50	0.828942896
Pec	log	50	0.517286668
Pec	stat	50	-0.783067925
Pec	stat	50	-0.937928535
Pec	log	5	1.721700595
Pec	log	5	1.553644407
Pec	stat	5	-0.043872031
Pec	stat	5	0.28996497
Pec	log	50	-0.251684582
Pec	log	50	-0.322407777
Pec	stat	50	-1.227855418
Pec	stat	50	-1.147686547
Pec	log	5	1.65915997
Pec	log	5	1.430528958
Pec	stat	5	-0.221366483
Pec	stat	5	-0.209468352
Pec	log	50	0.372020655
Pec	log	50	0.331711577
Pec	stat	50	-0.257733769
Pec	stat	50	-0.483313399
Pec	log	5	1.024046807
Pec	log	5	1.476974385
Pec	stat	5	0.180064141
Pec	stat	5	0.185494027
Ver	log	5	0.582082275
Ver	log	5	0.372511965
Ver	stat	5	-0.953152961
Ver	stat	5	-0.053418448
Ver	log	50	0.242816482
Ver	stat	50	0.906227711
Ver	log	50	0.070374779
Ver	stat	50	0.257610757
Ver	log	5	0.929107066
Ver	log	5	0.345919164
Ver	stat	5	0.105299748
Ver	stat	5	-0.833622341
Ver	log	50	-0.303684994
Ver	log	50	-0.068975341
Ver	stat	50	-0.68693948
Ver	stat	50	-0.629944233
Ver	log	5	0.487576914
Ver	log	5	0.169622522
Ver	stat	5	-0.952240186
Ver	stat	5	-0.219398657
Ver	log	50	0.528998576
Ver	log	50	1.111985082
Ver	stat	50	0.065351539
Ver	stat	50	0.32543986
Ver	log	5	-0.317988973
Ver	log	5	-0.659930252
Ver	stat	5	-0.350362775
Ver	stat	5	-0.373868707
