spec	group	vel
spec_1	Chrysophytes	0.218740757
spec_2	Chrysophytes	0.345515674
spec_3	Diatoms	0.382605523
spec_4	Diatoms	0.259194423
spec_5	Diatoms	0.263719805
spec_6	Diatoms	0.232708125
spec_7	Diatoms	0.164710462
spec_8	Chrysophytes	0.227524526
spec_9	Diatoms	0.254286516
spec_10	Diatoms	0.147306611
spec_11	Diatoms	0.331658476
spec_12	Diatoms	0.155464729
spec_13	Diatoms	0.236195576
spec_14	Diatoms	0.257805084
spec_15	Diatoms	0.152238684
spec_16	Diatoms	0.230536251
spec_17	Diatoms	0.358977726
spec_18	Diatoms	0.2030731
spec_19	Chrysophytes	0.329567349
spec_20	Diatoms	0.28441337
spec_21	Diatoms	0.344988201
spec_22	Diatoms	0.235241454
spec_23	Diatoms	0.230554795
spec_24	Diatoms	0.296885927
spec_25	Diatoms	0.266631572
spec_26	Diatoms	0.336945329
spec_27	Diatoms	0.220217951
spec_28	Diatoms	0.222463424
spec_29	Diatoms	0.250019639
spec_30	Diatoms	0.179055989
spec_31	Diatoms	0.127869742
spec_32	Diatoms	0.20049286
spec_33	Diatoms	0.192709305
spec_34	Diatoms	0.271577716
spec_35	Diatoms	0.211969223
spec_36	Chrysophytes	0.224185385
spec_37	Diatoms	0.170591024
spec_38	Diatoms	0.171748593
spec_39	Diatoms	0.189106971
spec_40	Diatoms	0.149755955
spec_41	Chrysophytes	0.125059221
spec_42	Chrysophytes	0.285658566
spec_43	Diatoms	0.175537566
spec_44	Diatoms	0.158129985
spec_45	Diatoms	0.244132377
spec_46	Diatoms	0.202692119
spec_47	Diatoms	0.254527408
spec_48	Diatoms	0.106749883
spec_49	Chrysophytes	0.183227597
spec_50	Diatoms	0.123292976
spec_51	Diatoms	0.251413305
spec_52	Diatoms	0.208355453
spec_53	Diatoms	0.155355484
spec_54	Diatoms	0.327653312
spec_55	Diatoms	0.207750276
spec_56	Diatoms	0.180625934
spec_57	Diatoms	0.180042213
spec_58	Chrysophytes	0.151291127
spec_59	Diatoms	0.173223808
spec_60	Diatoms	0.247901691
spec_61	Diatoms	0.142134624
spec_62	Chrysophytes	0.207948487
spec_63	Diatoms	0.198203404
spec_64	Diatoms	0.240893782
spec_65	Diatoms	0.270572077
spec_66	Diatoms	0.207662173
spec_67	Diatoms	0.234239388
spec_68	Diatoms	0.161260602
spec_69	Chrysophytes	0.136933648
spec_70	Diatoms	0.180215302
spec_71	Diatoms	0.162770285
spec_72	Diatoms	0.339906713
spec_73	Diatoms	0.114408444
spec_74	Diatoms	0.213438045
spec_75	Diatoms	0.185184543
spec_76	Diatoms	0.172864899
spec_77	Diatoms	0.143898734
spec_78	Chrysophytes	0.176978835
spec_79	Diatoms	0.22734302
spec_80	Chrysophytes	0.159763411
spec_81	Diatoms	0.238766491
spec_82	Diatoms	0.165825551
spec_83	Diatoms	0.230128531
spec_84	Diatoms	0.295455458
spec_85	Diatoms	0.164057691
spec_86	Diatoms	0.082479025
spec_87	Chrysophytes	0.153474364
spec_88	Chrysophytes	0.372951523
spec_89	Chrysophytes	0.10523365
spec_90	Diatoms	0.133878625
spec_91	Chrysophytes	0.148559217
spec_92	Diatoms	0.207994256
spec_93	Diatoms	0.253083449
spec_94	Diatoms	0.191844171
spec_95	Diatoms	0.093785416
spec_96	Diatoms	0.311037014
spec_97	Diatoms	0.323916715
spec_98	Diatoms	0.220936837
spec_99	Chrysophytes	0.13884653
spec_100	Diatoms	0.220756803
spec_101	Diatoms	0.185842245
spec_102	Diatoms	0.171723212
spec_103	Chrysophytes	0.204545467
spec_104	Diatoms	0.267940657
spec_105	Diatoms	0.186982436
spec_106	Chrysophytes	0.162790308
spec_107	Diatoms	0.220476024
spec_108	Diatoms	0.110952405
spec_109	Diatoms	0.143871542
spec_110	Diatoms	0.3016198
spec_111	Diatoms	0.285434366
spec_112	Diatoms	0.298852686
spec_113	Diatoms	0.220165357
spec_114	Diatoms	0.308555864
spec_115	Chrysophytes	0.149551629
spec_116	Diatoms	0.147792607
spec_117	Diatoms	0.281512376
spec_118	Diatoms	0.293120533
spec_119	Chrysophytes	0.136146003
spec_120	Diatoms	0.178815885
spec_121	Diatoms	0.108481719
spec_122	Diatoms	0.387855945
spec_123	Diatoms	0.278762831
spec_124	Diatoms	0.194097732
spec_125	Diatoms	0.300005831
spec_126	Diatoms	0.193482377
spec_127	Diatoms	0.053809069
spec_128	Diatoms	0.196958405
spec_129	Chrysophytes	0.329315512
spec_130	Diatoms	0.165650648
spec_131	Diatoms	0.156987449
spec_132	Chrysophytes	0.099511598
spec_133	Diatoms	0.300270049
spec_134	Diatoms	0.255370711
spec_135	Diatoms	0.159097767
spec_136	Diatoms	0.166504562
spec_137	Diatoms	0.244416567
spec_138	Diatoms	0.186748321
spec_139	Diatoms	0.192032782
spec_140	Diatoms	0.221425835
spec_141	Diatoms	0.168843966
spec_142	Diatoms	0.147323814
spec_143	Diatoms	0.163315363
spec_144	Diatoms	0.184981873
spec_145	Diatoms	0.466682922
spec_146	Diatoms	0.194285212
spec_147	Diatoms	0.144237453
spec_148	Diatoms	0.148179739
spec_149	Diatoms	0.158799017
spec_150	Diatoms	0.333964299
spec_151	Chrysophytes	0.131436131
spec_152	Diatoms	0.239666803
spec_153	Diatoms	0.150800626
spec_154	Diatoms	0.17035244
spec_155	Diatoms	0.200993912
spec_156	Diatoms	0.467497827
spec_157	Diatoms	0.231558755
spec_158	Chrysophytes	0.195111052
spec_159	Diatoms	0.148917288
spec_160	Chrysophytes	0.067322239
spec_161	Diatoms	0.375808433
spec_162	Cyanobacteria	0.342231735
spec_163	Cyanobacteria	0.328784005
spec_164	Cyanobacteria	0.241491078
spec_165	Cyanobacteria	0.301334464
spec_166	Cyanobacteria	0.318369345
spec_167	Cyanobacteria	0.16043736
spec_168	Cyanobacteria	0.257135434
spec_169	Cyanobacteria	0.298740212
spec_170	Cyanobacteria	0.314106432
spec_171	Cyanobacteria	0.251913137
spec_172	Cyanobacteria	0.296239716
spec_173	Cyanobacteria	0.344920501
spec_174	Cyanobacteria	0.270404668
spec_175	Cyanobacteria	0.291433084
spec_176	Cyanobacteria	0.264560781
spec_177	Cyanobacteria	0.360877675
spec_178	Cyanobacteria	0.262123683
spec_179	Cyanobacteria	0.31736489
spec_180	Cyanobacteria	0.407739637
spec_181	Cyanobacteria	0.384415841
spec_182	Cyanobacteria	0.286738625
spec_183	Cyanobacteria	0.333610804
spec_184	Cyanobacteria	0.152518013
spec_185	Cyanobacteria	0.352875896
spec_186	Cyanobacteria	0.211745982
spec_187	Cyanobacteria	0.398821008
spec_188	Cyanobacteria	0.353844628
spec_189	Cyanobacteria	0.109374732
spec_190	Cyanobacteria	0.221076499
spec_191	Cyanobacteria	0.241294043
