spName,genus,species,species_name
18032-ABI-BAL,Abies,balsamea,Abies balsamea
28728-ACE-RUB,Acer,rubrum,Acer rubrum
28731-ACE-SAC,Acer,saccharum,Acer saccharum
19481-BET-ALL,Betula,alleghaniensis,Betula alleghaniensis
19489-BET-PAP,Betula,papyrifera,Betula papyrifera
19462-FAG-GRA,Fagus,grandifolia,Fagus grandifolia
32931-FRA-AME,Fraxinus,americana,Fraxinus americana
32945-FRA-NIG,Fraxinus,nigra,Fraxinus nigra
183412-LAR-LAR,Larix,laricina,Larix laricina
183295-PIC-GLA,Picea,glauca,Picea glauca
183302-PIC-MAR,Picea,mariana,Picea mariana
18034-PIC-RUB,Picea,rubens,Picea rubens
183319-PIN-BAN,Pinus,banksiana,Pinus banksiana
183375-PIN-RES,Pinus,resinosa,Pinus resinosa
183385-PIN-STR,Pinus,strobus,Pinus strobus
195773-POP-TRE,Populous,tremuloides,Populous tremuloides
22463-POP-GRA,Populus,grandidentata,Populus grandidentata
19287-QUE-MAC,Quercus,macrocarpa,Quercus macrocarpa
19408-QUE-RUB,Quercus,rubra,Quercus rubra
505490-THU-OCC,Thuja,occidentalis,Thuja occidentalis
183397-TSU-CAN,Tsuga,canadensis,Tsuga canadensis
