species_code,n,died,year,plot
28731-ACE-SAC,10,0,2005,398703
28731-ACE-SAC,23,16,2007,395865
28731-ACE-SAC,23,1,2005,398333
28731-ACE-SAC,11,0,2005,395537
28731-ACE-SAC,11,0,2005,395686
28731-ACE-SAC,7,4,2009,395488
28731-ACE-SAC,7,0,2007,395817
28731-ACE-SAC,5,1,2007,315624
28731-ACE-SAC,12,1,2008,397116
28731-ACE-SAC,12,0,2005,398712
28731-ACE-SAC,5,0,2007,395733
28731-ACE-SAC,10,0,2006,396174
28731-ACE-SAC,6,2,2005,397683
28731-ACE-SAC,3,1,2006,396164
28731-ACE-SAC,5,5,2007,395729
28731-ACE-SAC,26,2,2007,397764
28731-ACE-SAC,3,0,2007,395818
28731-ACE-SAC,10,0,2008,396039
28731-ACE-SAC,7,6,2007,395743
28731-ACE-SAC,17,7,2005,397911
28731-ACE-SAC,9,0,2009,398598
28731-ACE-SAC,3,0,2009,395722
28731-ACE-SAC,16,1,2010,396166
28731-ACE-SAC,9,0,2005,685150
28731-ACE-SAC,9,0,2005,685273
28731-ACE-SAC,14,1,2005,685150
28731-ACE-SAC,14,1,2005,685273
28731-ACE-SAC,11,6,2006,396054
28731-ACE-SAC,5,2,2006,395511
28731-ACE-SAC,2,1,2007,317064
28731-ACE-SAC,12,7,2010,398703
28731-ACE-SAC,8,0,2007,397745
28731-ACE-SAC,3,1,2006,396833
28731-ACE-SAC,6,5,2006,397037
28731-ACE-SAC,2,0,2006,395508
28731-ACE-SAC,5,0,2007,314890
28731-ACE-SAC,11,4,2005,397590
28731-ACE-SAC,6,0,2005,395554
28731-ACE-SAC,16,0,2005,396110
28731-ACE-SAC,22,0,2012,395838
28731-ACE-SAC,11,0,2005,395628
28731-ACE-SAC,26,0,2008,395903
28731-ACE-SAC,6,4,2008,395965
28731-ACE-SAC,21,1,2007,316826
28731-ACE-SAC,13,0,2008,395953
28731-ACE-SAC,3,3,2005,420867
28731-ACE-SAC,21,1,2007,316839
28731-ACE-SAC,7,0,2008,395896
28731-ACE-SAC,1,1,2007,395820
28731-ACE-SAC,5,2,2007,397727
28731-ACE-SAC,11,1,2007,395756
28731-ACE-SAC,15,0,2008,397050
28731-ACE-SAC,3,0,2009,395619
28731-ACE-SAC,8,1,2012,395753
28731-ACE-SAC,8,3,2008,397094
28731-ACE-SAC,23,0,2010,398333
28731-ACE-SAC,12,0,2010,395537
28731-ACE-SAC,5,0,2005,398338
28731-ACE-SAC,5,2,2009,395584
28731-ACE-SAC,22,1,2009,397574
28731-ACE-SAC,11,0,2011,396174
28731-ACE-SAC,10,1,2005,395640
28731-ACE-SAC,18,0,2007,397732
28731-ACE-SAC,12,0,2010,395686
28731-ACE-SAC,12,0,2006,395623
28731-ACE-SAC,3,0,2008,315209
28731-ACE-SAC,6,0,2007,315561
28731-ACE-SAC,4,0,2007,395791
28731-ACE-SAC,2,0,2005,313994
28731-ACE-SAC,22,0,2006,315606
28731-ACE-SAC,14,11,2010,398712
28731-ACE-SAC,18,0,2006,397708
28731-ACE-SAC,25,1,2007,398405
28731-ACE-SAC,13,0,2005,395657
28731-ACE-SAC,4,0,2008,397823
28731-ACE-SAC,6,0,2007,314104
28731-ACE-SAC,20,6,2007,397779
28731-ACE-SAC,13,0,2005,397697
28731-ACE-SAC,3,2,2009,396899
28731-ACE-SAC,1,0,2011,398743
28731-ACE-SAC,4,2,2005,395542
28731-ACE-SAC,4,0,2007,398626
28731-ACE-SAC,10,7,2009,397681
28731-ACE-SAC,9,5,2008,395921
28731-ACE-SAC,17,3,2012,395765
28731-ACE-SAC,5,2,2010,397683
28731-ACE-SAC,1,0,2008,315448
28731-ACE-SAC,1,0,2008,316371
28731-ACE-SAC,14,2,2009,396120
28731-ACE-SAC,5,0,2011,396054
28731-ACE-SAC,3,0,2011,395511
28731-ACE-SAC,14,2,2009,395469
28731-ACE-SAC,14,6,2006,316319
28731-ACE-SAC,10,0,2006,395564
28731-ACE-SAC,2,2,2006,422679
28731-ACE-SAC,2,0,2012,395743
28731-ACE-SAC,11,0,2010,397911
28731-ACE-SAC,2,0,2006,395633
28731-ACE-SAC,24,13,2012,397764
28731-ACE-SAC,7,2,2011,395491
28731-ACE-SAC,7,2,2011,396126
28731-ACE-SAC,30,5,2007,419769
28731-ACE-SAC,17,0,2010,395580
28731-ACE-SAC,3,0,2006,395563
28731-ACE-SAC,18,3,2008,397876
28731-ACE-SAC,13,3,2005,397782
28731-ACE-SAC,1,0,2009,396837
28731-ACE-SAC,2,1,2007,397001
28731-ACE-SAC,12,2,2011,488358
28731-ACE-SAC,14,1,2010,685150
28731-ACE-SAC,14,1,2010,685273
28731-ACE-SAC,13,2,2010,685150
28731-ACE-SAC,13,2,2010,685273
28731-ACE-SAC,1,0,2011,397037
28731-ACE-SAC,6,1,2006,395979
28731-ACE-SAC,12,6,2006,397627
28731-ACE-SAC,2,0,2009,396051
28731-ACE-SAC,6,1,2005,397903
28731-ACE-SAC,6,0,2007,396954
28731-ACE-SAC,28,8,2007,317045
28731-ACE-SAC,8,0,2007,395823
28731-ACE-SAC,3,2,2012,395747
28731-ACE-SAC,22,1,2006,397645
28731-ACE-SAC,6,2,2008,398688
28731-ACE-SAC,3,1,2008,397896
28731-ACE-SAC,19,5,2005,397920
28731-ACE-SAC,2,1,2008,397132
28731-ACE-SAC,6,3,2006,398343
28731-ACE-SAC,6,2,2007,395827
28731-ACE-SAC,8,1,2009,395701
28731-ACE-SAC,9,4,2008,395905
28731-ACE-SAC,3,0,2008,397035
28731-ACE-SAC,13,0,2011,395623
28731-ACE-SAC,7,0,2005,397981
28731-ACE-SAC,2,1,2005,396918
28731-ACE-SAC,11,2,2006,397608
28731-ACE-SAC,7,1,2010,395554
