site	sampling.time	diff.solar.noon	landuse	order	Q	canopy	Temp	cond	pH	turb	Alk	TSS	PO4	NH4	NO2	NO3	Br	Cl	Fl	SO4	Na	K	Ca	Mg	TDN	SUVA254	slope	slope_short	SR_Helms	E2.to.E3	E4.to.E6	FIX	FIX2	HIX	beta.alpha	X7c_c1	X7c_c2	X7c_c3	X7c_c4	X7c_c5	X7c_c6	X7c_c7	humF.to.protF	humF.per.DOC	protF.per.DOC	DIC.d13C	pCO2	EpCO2
Aa20	10:04	145.92	A	2	3.572	0.2	13.4	229.1	7.45	0.02	2160	12.55102041	5.16E-07	2.28E-05	8.91E-07	5.45E-05	2.45E-06	0.000265196	4.47E-05	8.58E-05	0.000930796	0.000423884	0.000328085	0.000152685	7.82E-05	2.486707566	0.014843351	0.015088826	0.838572433	5.72972973	7.333333333	1.432674126	1.781211859	0.817839087	0.718698715	0.002585346	0.589200419	0.408203042	0.210050835	0.037019745	0.334738968	0.117520587	9.815030131	0.315376946	0.03213204	-2.673634428	NA	NA
Aa21	14:01	91.08	A	1	6.6	0.2	17	205.4	8.03	35.5	2160	59.44444444	8.32E-07	2.36E-05	6.08E-07	7.81E-06	2.06E-06	0.000237582	3.91E-05	5.09E-05	0.000843062	0.000323802	0.00032317	0.00014639	3.20E-05	2.749287749	0.013045463	0.013139178	0.885305779	4.643518519	5	1.352616546	1.709486483	0.73457105	0.697805228	0.075614095	0.708923866	0.487800779	0.285898306	0.090377459	0.379504448	0.306216546	3.943446542	0.265260313	0.067266111	-8.590663789	1184.456828	3.060611958
Aa22	16:35	245.08	A	1	1.65	0.3	14.5	205.7	7.88	0.02	2160	10.57142857	0.000000137	2.78E-05	1.13E-06	4.73E-05	1.39E-06	0.000220969	2.87E-05	3.56E-05	0.000622227	0.000373881	0.000372199	0.000157663	7.62E-05	2.957983193	0.013740244	0.013766335	0.851617967	4.986425339	8	1.37126692	1.726269383	0.785181943	0.68299993	0.037594156	0.845928777	0.564078788	0.311427406	0.050795157	0.439525906	0.243463772	6.511799874	0.302655585	0.046478023	-4.565283457	1753.501451	4.531011501
Aa23	10:05	145.22	A	1	5.472	0.4	12.1	181.8	7.96	0.02	2160	26.96629213	1.00E-06	2.07E-05	2.17E-06	0.000124766	1.24E-06	0.000215891	3.03E-05	4.66E-05	0.000716442	0.000299606	0.000300339	0.000132606	1.48E-04	3.069472278	0.013607194	0.013175512	0.807940053	4.892857143	6.714285714	1.349814441	1.701107088	0.806640707	0.667633878	0.010937179	0.622245048	0.427942852	0.248267523	0.041496943	0.322364764	0.140571698	8.397778818	0.270678054	0.032232101	-7.214370053	1094.979774	2.829405101
Aa6b	17:03	270.78	A	2	1.8	0.2	17.5	404.4	7.79	388	3740	209.4117647	0.000000137	0.000446205	1.98E-05	9.27E-05	2.47E-06	0.000354103	6.12E-05	5.97E-05	0.001070465	0.000989155	0.00050791	0.000253652	5.59E-04	1.722983257	0.014449609	0.015424045	0.894368441	5.288888889	7.833333333	1.481363545	1.961381963	0.623451716	0.763909436	0.222123376	1.83015733	1.771917754	0.562789525	0.634290526	1.159934865	1.536980132	2.224790151	0.405235881	0.182145665	-4.717236032	3730.960895	9.640725827
Af5	14:04	94.38	F	3	4.2	0.4	14.5	129.4	7.94	28.8	2160	10.21052632	0.000000137	1.93E-05	6.95E-07	3.49E-05	8.64E-07	0.000124757	2.87E-05	5.13E-05	NA	NA	NA	NA	5.49E-05	3.088685015	0.01376586	0.01382645	0.83335946	4.981042654	6.428571429	1.336502545	1.722146587	0.853653186	0.677791361	0.035057086	1.300935075	1.005284598	0.580638353	0	0.740033623	0.213442803	14.59514394	0.554570589	0.037996925	-9.946629587	NA	NA
Am24	13:05	34.78	M	2	22.659	0.7	13.5	64.7	7.98	0.02	2160	8.526315789	2.19E-06	1.43E-05	9.78E-07	5.24E-05	3.38E-07	5.87E-05	1.36E-05	1.37E-05	0.000233884	0.000116835	9.93E-05	4.15E-05	6.77E-05	2.521877486	0.014101246	0.014129877	0.805234393	5.015151515	10	1.312364692	1.697683893	0.765129779	0.644911742	0.008863541	0.347967858	0.253926357	0.161372856	0.104560242	0.203919197	0.081733266	4.955938169	0.384720075	0.077628102	-3.688619969	353.3440847	0.913033811
If3	16:03	211.48	F	3	30.475	0.7	18.5	91.2	7.75	7.945	815	51.07692308	0.000000137	1.86E-05	2.82E-07	3.60E-06	1.88E-07	5.47E-06	1.02E-05	3.50E-06	0.000145411	8.71E-05	9.25E-05	3.96E-05	2.25E-05	2.99185099	0.013144995	0.01374452	0.919048655	4.609195402	4.5	1.252091337	1.667381398	0.833680208	0.639574177	0	0.778060572	0.550039493	0.355389521	0.054213756	0.427767709	0.131157758	11.38932973	0.40963471	0.035966534	-8.064017375	777.1835257	2.008226164
Im1	14:00	88.48	M	2	1.496	0.6	19	177.4	7.27	0.02	2160	9.1	0.000000137	1.14E-05	6.95E-07	0.000401635	1.18E-06	0.000117056	2.74E-05	2.23E-05	0.000734319	0.000155097	0.000106742	4.83E-05	4.14E-04	4.043993232	0.021959026	0.015788466	0.437162872	17.13333333	1.5	1.516107419	1.652337409	0.071544856	0.52953935	1.38620121	0.07357076	0.171228146	0.017725481	0.389360218	0.099375856	0.222274527	0.181146126	0.306176179	1.690216544	NA	NA	NA
Im2	15:04	152.48	M	2	0.5	0.6	19.6	170.6	7.87	36.95	1600	64.28571429	2.51E-06	2.07E-05	1.80E-06	2.15E-05	8.89E-07	0.00012329	6.35E-05	2.13E-05	0.000977338	0.000336718	0.000158591	7.38E-05	4.40E-05	4.138062548	0.013597084	0.013944958	0.820106933	4.819742489	44	1.323661714	1.661036807	0.865288977	0.634518954	0	1.528768524	0.984797553	0.691554016	0.018112181	0.860638147	0.176777056	20.86189213	0.775316217	0.037164233	-11.47279138	1619.171522	4.183905742
Mf1	13:04	31.78	M	3	7.92	0.7	13.7	143.7	7.45	0.02	1340	19.88636364	9.37E-07	1.86E-05	3.26E-07	3.47E-05	5.51E-07	6.87E-05	2.35E-05	1.35E-05	0.000313136	0.000117883	0.000133365	5.39E-05	5.36E-05	3.53046595	0.014743217	0.011159405	0.614539451	6.057803468	2.8125	1.310050474	1.80122275	0.395231554	0.674997294	0	0.748146388	0.554836674	0.319232999	3.39082384	0.394679357	0	0.59480985	0.361450792	0.607674523	NA	NA	NA
N44	17:35	299.18	F	5	2246.383	0.4	16.7	50.2	7.85	0.02	460	11.8556701	3.27E-07	1.00E-05	5.00E-07	1.69E-05	1.88E-07	4.47E-05	1.75E-05	1.14E-05	0.000243802	8.38E-05	6.21E-05	3.43E-05	2.74E-05	4.164588529	0.013254224	0.018470718	1.316871946	4.576576577	3.555555556	1.307723156	1.645921656	0.230104953	0.664422659	1.435911079	0.36890284	0.350007519	0.15164453	0.343925975	0.187658906	0.399486365	0.485569873	0.439822857	0.905786957	-4.047905224	428.9082313	1.108290003
Na27	14:02	89.08	A	1	0.15	0.3	15	122.5	7.47	117	960	107	2.42E-06	1.86E-05	2.24E-06	0.000138233	7.38E-07	9.67E-05	3.75E-05	1.89E-05	0.000356329	0.000113228	8.26E-05	4.27E-05	1.59E-04	3.10819262	0.018816276	0.012152203	0.164949074	16.625	1	1.44028629	1.860898114	0.182550615	0.6408926	1.360124126	0.246080777	0.317189631	0.062454554	0.361729891	0.264008185	0.256349716	0.449768207	0.278215493	0.618575276	NA	NA	NA
Na28	15:21	168.08	A	1	0.792	0.3	17.5	109.5	7.53	30	620	51.11111111	7.16E-07	1.29E-05	1.13E-06	3.31E-05	1.38E-07	3.47E-05	1.27E-05	3.24E-06	7.40E-05	6.37E-06	2.34E-05	6.67E-06	4.71E-05	2.269756387	0.019728996	0.01136716	0.11874171	25.875	1	1.464450947	1.723160518	0.09573143	0.573910182	1.19005501	0.111993041	0.231212906	0.034619935	1.222557184	0.148160731	0.20891487	0.200641306	0.156264591	0.778825628	NA	NA	NA
