case	isolate	temperature	FA1_SAnb	FA2_MU	FA3_SAnb	FA4_SAb	FA5_SAb	FA6_SAnb	FA7_MU	FA8_SAb	FA9_SAnb	FA10_MU	FA11_SAb	FA12_SAnb	FA13_MUb	FA14_MU	FA15_SAnb	FA16_MU	FA17_MU	sum_MU	sum_SA	sum_SAbran	sum_SAnbran	SA_branprop
1	warm	6	0.003996004	0	0.012987013	0.300699301	0.10989011	0.036963037	0	0.013986014	0.02997003	0.420579421	0.000999001	0.011988012	0.006993007	0	0.013986014	0.027972028	0.008991009	0.464535465	0.535464535	0.425574426	0.10989011	0.794776119
2	warm	6	0.004	0	0.014	0.296	0.095	0.038	0	0.016	0.03	0.442	0.001	0.011	0.006	0	0.009	0.029	0.009	0.486	0.514	0.408	0.106	0.793774319
3	warm	6	0.006	0	0.015	0.28	0.119	0.028	0	0.011	0.035	0.404	0	0.014	0.007	0	0.024	0.045	0.012	0.468	0.532	0.41	0.122	0.770676692
4	warm	6	0.008991009	0	0.017982018	0.247752248	0.074925075	0.035964036	0	0.01998002	0.060939061	0.386613387	0	0.00999001	0.004995005	0	0.033966034	0.07992008	0.017982018	0.48951049	0.51048951	0.342657343	0.167832168	0.671232877
5	warm	28	0.00999001	0	0.020979021	0.316683317	0.038961039	0.053946054	0	0.014985015	0.121878122	0.280719281	0.011988012	0.004995005	0.00999001	0	0.025974026	0.063936064	0.024975025	0.37962038	0.62037962	0.382617383	0.237762238	0.616747182
6	warm	28	0.01	0	0.018	0.313	0.051	0.046	0	0.015	0.11	0.267	0.013	0.006	0.009	0	0.038	0.081	0.023	0.38	0.62	0.392	0.228	0.632258065
7	warm	28	0.002997003	0	0.020979021	0.304695305	0.046953047	0.056943057	0	0.014985015	0.132867133	0.228771229	0.012987013	0.007992008	0.008991009	0	0.033966034	0.095904096	0.030969031	0.364635365	0.635364635	0.37962038	0.255744256	0.597484277
8	warm	6	0.002006018	0	0.014042126	0.180541625	0.096288867	0.055165496	0.004012036	0.030090271	0.065195587	0.504513541	0.001003009	0.007021063	0.005015045	0.002006018	0.008024072	0.020060181	0.005015045	0.536609829	0.459378134	0.307923771	0.151454363	0.670305677
9	warm	6	0.003003003	0.001001001	0.015015015	0.192192192	0.087087087	0.065065065	0	0.027027027	0.061061061	0.499499499	0.001001001	0.007007007	0.006006006	0	0.007007007	0.022022022	0.006006006	0.534534535	0.465465465	0.307307307	0.158158158	0.660215054
10	warm	6	0.002006018	0	0.014042126	0.166499498	0.128385155	0.048144433	0	0.024072217	0.065195587	0.502507523	0	0.007021063	0.005015045	0	0.01003009	0.02106319	0.006018054	0.534603811	0.465396189	0.318956871	0.146439318	0.685344828
11	warm	6	0.003992016	0	0.012974052	0.19760479	0.076846307	0.05489022	0	0.031936128	0.064870259	0.492015968	0.000998004	0.006986028	0.005988024	0	0.011976048	0.0249501	0.013972056	0.536926148	0.463073852	0.30738523	0.155688623	0.663793103
12	warm	6	0.00240024	0.00020002	0.01390139	0.180018002	0.095709571	0.055205521	0.00370037	0.02960296	0.065306531	0.503450345	0.00130013	0.00720072	0.00550055	0.00240024	0.00840084	0.02030203	0.00540054	0.537253725	0.459045905	0.306630663	0.152415242	0.667973856
13	warm	6	0.00339966	0.00049995	0.01529847	0.191980802	0.087291271	0.064893511	0	0.0269973	0.060793921	0.499350065	0.00079992	0.00709929	0.00579942	0.00019998	0.00729927	0.02229777	0.0059994	0.534146585	0.465853415	0.307069293	0.158784122	0.659154325
14	warm	28	0.006986028	0	0.020958084	0.333333333	0.078842315	0.062874251	0	0.025948104	0.144710579	0.225548902	0.01996008	0.00499002	0.006986028	0	0.012974052	0.040918164	0.01497006	0.288423154	0.711576846	0.458083832	0.253493014	0.643758766
15	warm	28	0.006012024	0	0.018036072	0.308617234	0.086172345	0.063126253	0	0.028056112	0.146292585	0.226452906	0.021042084	0.00501002	0.008016032	0	0.023046092	0.043086172	0.017034068	0.294589178	0.705410822	0.443887776	0.261523046	0.629261364
16	warm	28	0.009	0	0.02	0.333	0.084	0.06	0	0.031	0.143	0.187	0.019	0.004	0.006	0	0.02	0.062	0.022	0.277	0.723	0.467	0.256	0.645919779
17	cold	6	0.004995005	0	0.011988012	0.292707293	0.18981019	0.015984016	0	0.015984016	0.026973027	0.370629371	0.000999001	0.020979021	0.001998002	0	0.00999001	0.028971029	0.007992008	0.40959041	0.59040959	0.4995005	0.090909091	0.846023689
18	cold	6	0.004	0	0.01	0.305	0.181	0.018	0	0.017	0.027	0.371	0.001	0.021	0.002	0	0.009	0.027	0.007	0.407	0.593	0.504	0.089	0.849915683
19	cold	6	0.004	0	0.008	0.261	0.228	0.01	0	0.013	0.029	0.347	0.001	0.029	0.002	0	0.016	0.042	0.01	0.401	0.599	0.503	0.096	0.839732888
20	cold	6	0.005	0	0.015	0.264	0.139	0.02	0	0.02	0.053	0.368	0	0.015	0.003	0	0.023	0.061	0.014	0.446	0.554	0.423	0.131	0.763537906
21	cold	28	0.004995005	0	0.017982018	0.42957043	0.087912088	0.030969031	0	0.007992008	0.072927073	0.261738262	0.00999001	0.004995005	0.003996004	0	0.014985015	0.038961039	0.012987013	0.317682318	0.682317682	0.535464535	0.146853147	0.78477306
22	cold	6	0.002994012	0.000998004	0.011976048	0.186626747	0.158682635	0.031936128	0	0.0249501	0.048902196	0.48003992	0.000998004	0.00998004	0.002994012	0.002994012	0.007984032	0.021956088	0.005988024	0.51497006	0.48502994	0.371257485	0.113772455	0.765432099
23	cold	6	0.001996008	0.000998004	0.011976048	0.186626747	0.157684631	0.031936128	0	0.0249501	0.050898204	0.479041916	0.001996008	0.00998004	0.002994012	0.001996008	0.007984032	0.022954092	0.005988024	0.513972056	0.486027944	0.371257485	0.114770459	0.76386037
